rep,p_dgp,phi,n,k_first,n_test,ar_fit_failures,mse_ar,mse_timesfm,dm_t_stat,dm_pvalue_two_sided,coverage20_ar,coverage20_timesfm,width20_ar,width20_timesfm,coverage40_ar,coverage40_timesfm,width40_ar,width40_timesfm,coverage60_ar,coverage60_timesfm,width60_ar,width60_timesfm,coverage80_ar,coverage80_timesfm,width80_ar,width80_timesfm
0,5,"0.11199010,-0.70500013,0.35021643,-0.45821379,0.15103642",720,360,360,0,0.9958462585026276,1.0578274204514115,-2.295304515196899,0.021715679041267894,0.20833333333333334,0.20833333333333334,0.5177158177627401,0.551981094338569,0.38055555555555554,0.4305555555555556,1.0716145434918136,1.1269084016300945,0.6361111111111111,0.6472222222222223,1.7198563543555945,1.844305570919015,0.8333333333333334,0.8333333333333334,2.618855745926578,2.872093181504816
1,5,"-0.28307559,0.14198047,0.43789649,-0.16247471,0.16528211",720,360,360,0,0.9128205950750372,0.9482437304955122,-2.1719638677763196,0.029858388387129894,0.22777777777777777,0.21666666666666667,0.4909290052058267,0.5046424477904414,0.4,0.3888888888888889,1.016168801011269,1.021162491190868,0.5972222222222222,0.5888888888888889,1.6308703349829892,1.676210153399087,0.7833333333333333,0.7916666666666666,2.4833551574321397,2.6047677487290155
2,5,"-0.55777209,-0.24162473,0.36898875,0.36431822,-0.15710405",720,360,360,0,1.11606729637924,1.2353680586699485,-2.760591113862574,0.005769686156170137,0.20555555555555555,0.2388888888888889,0.5405462015479411,0.6209853441855456,0.4111111111111111,0.4361111111111111,1.118870915536705,1.2576018169755117,0.6277777777777778,0.6555555555555556,1.7956990836641853,2.0532318508446528,0.7972222222222223,0.8527777777777777,2.73434281374683,3.204524235449369
3,5,"0.49251271,0.10244153,0.51570115,0.30631215,-0.59665938",720,360,360,0,0.8798684025498587,0.9666782948411888,-3.0037466124424643,0.0026667732371824025,0.22777777777777777,0.21944444444444444,0.4834717626603332,0.5418884475405018,0.4,0.43333333333333335,1.0007331328475448,1.0823336736402578,0.575,0.6055555555555555,1.6060973117571167,1.7729115351620648,0.7916666666666666,0.825,2.4456328359982913,2.8088540038093925
4,5,"0.80356554,-0.23523655,0.20658389,0.08221548,-0.45979953",720,360,360,0,1.0502753817159862,1.0918562257124431,-2.1940327759282394,0.028233053355030225,0.175,0.17777777777777778,0.5075156503406839,0.520172500562492,0.34444444444444444,0.35555555555555557,1.050501323882719,1.0470096952773424,0.5888888888888889,0.5611111111111111,1.6859713113369676,1.7258977124545103,0.7916666666666666,0.8083333333333333,2.567258390493048,2.7337558908155186
