p_dgp,band,target_coverage,model_metric,coverage,model,abs_calibration_error,avg_width
5,20%,0.2,coverage_ar,0.20888888888888885,ar,0.008888888888888835,0.508035687503505
5,20%,0.2,coverage_timesfm,0.21222222222222223,timesfm,0.012222222222222218,0.5479339668835099
5,40%,0.4,coverage_ar,0.38722222222222225,ar,0.012777777777777777,1.05157774335401
5,40%,0.4,coverage_timesfm,0.40888888888888886,timesfm,0.008888888888888835,1.107003215742815
5,60%,0.6,coverage_ar,0.605,ar,0.0050000000000000044,1.6876988792193703
5,60%,0.6,coverage_timesfm,0.6116666666666667,timesfm,0.011666666666666714,1.814511364555866
5,80%,0.8,coverage_ar,0.7994444444444444,ar,0.0005555555555556424,2.5698889887193777
5,80%,0.8,coverage_timesfm,0.8222222222222223,timesfm,0.022222222222222254,2.8447990120616224
