p_dgp,band,target_coverage,coverage_ar,coverage_timesfm,abs_calib_error_ar,abs_calib_error_timesfm,better_calibration
5,20%,0.2,0.20888888888888885,0.21222222222222223,0.008888888888888835,0.012222222222222218,AR
5,40%,0.4,0.38722222222222225,0.40888888888888886,0.012777777777777777,0.008888888888888835,TimesFM
5,60%,0.6,0.605,0.6116666666666667,0.0050000000000000044,0.011666666666666714,AR
5,80%,0.8,0.7994444444444444,0.8222222222222223,0.0005555555555556424,0.022222222222222254,AR
