p_dgp,q_dgp,n_test,n_compared,arma_fit_failures,mse_arma,mse_timesfm
2,2,89,81,8,0.6724554424521877,0.6937443546286373
2,5,89,78,11,0.9916134877621329,0.9525487839877284
5,2,89,78,11,1.2929059786726358,1.011069774699122
5,5,89,75,14,1.1650641235187453,0.9608688069344182
