n,q,n_test,ma_failures,mse_ma,mse_timesfm,mae_ma,mae_timesfm,frac_ma_wins_sq,mse_diff_tf_minus_ma
10,2,5,0,0.7206102096316924,0.5636753945934664,0.7134703829771244,0.6406096571409947,0.2,-0.15693481503822604
10,10,5,5,,0.5636753945934664,,0.6406096571409947,,
10,20,5,5,,0.5636753945934664,,0.6406096571409947,,
100,2,50,0,0.670124067281103,0.7733059592319617,0.6887589758493189,0.728825431228759,0.58,0.1031818919508587
100,10,50,0,0.7995145603531454,0.7733059592319617,0.7497754933544811,0.728825431228759,0.6,-0.026208601121183728
100,20,50,0,1.107184992910543,0.7733059592319617,0.8282612185310819,0.728825431228759,0.46,-0.3338790336785814
